timestamp,gyro_x,gyro_y,gyro_z
0.16,0.00431,0.00655,0.01357
0.26,-0.00034,0.03312,-0.07231
0.36,0.06827,-0.09095,0.21575
0.46,-0.02929,0.00109,0.05496
0.56,0.00086,0.05154,0.01751
0.66,-0.00823,0.02771,0.00559
0.76,-0.00603,0.02189,0.01808
0.86,0.04267,0.03228,-0.00947
0.96,-0.00571,0.00623,0.02154
1.06,-0.01666,0.07195,0.07513
1.16,0.00685,-0.00513,-0.02986
1.26,-0.00934,0.06107,-0.01203
1.36,0.02267,0.03847,0.07197
1.46,0.01404,0.02209,-0.02275
1.56,0.00979,0.0092,0.04471
1.66,0.00701,-0.02912,-0.03998
1.76,0.01586,0.05501,0.04925
1.86,0.02205,0.00802,-0.00014
1.96,0.02712,-0.04017,0.01628
2.06,-0.01841,0.01797,0.04179
2.16,-0.0068,0.01419,0.04213
2.26,0.00643,0.0068,0.02625
2.36,0.00414,0.0111,0.01339
2.46,0.002,0.01066,0.01509
2.56,0.00181,0.01106,0.01832
2.66,-0.02042,0.03408,0.72443
2.76,-0.01782,0.01115,0.85429
2.88,-0.00225,0.00792,0.99117
2.98,0.01253,0.03766,0.94072
3.08,-0.00594,0.02132,0.82081
3.18,-0.0191,0.00446,0.96962
3.28,0.01124,0.00593,1.03141
3.38,0.01255,-0.01899,0.89964
3.48,-0.03067,0.01245,0.97829
3.58,-0.00906,0.00448,1.00107
3.68,-0.02108,0.00518,0.98632
3.78,0.01722,-0.03127,0.88147
3.88,-0.00951,-0.00262,0.96016
3.98,-0.01235,-0.01213,1.02336
4.08,0.00242,0.01411,0.99818
4.18,0.00665,0.00314,0.93928
4.28,-0.02062,0.01951,0.57719
4.38,0.00448,0.00869,0.14471
4.48,0.00351,0.00968,0.02516
4.58,0.0018,0.00792,0.00927
4.68,0.00445,0.00716,0.01968
4.78,0.00028,0.01149,0.00352
4.88,0.04654,-0.00573,-0.20725
4.98,-0.06147,-0.06733,0.05511
5.08,-0.00443,-0.01081,0.12834
5.18,-0.00743,0.02283,0.00086
5.28,-0.00987,-0.02782,0.04783
5.38,-0.00963,-0.00023,-0.00056
5.48,0.02845,0.01159,-0.01598
5.58,-0.0174,0.02913,0.03045
5.68,0.05066,0.02067,-0.00167
5.78,-0.02283,0.04149,0.04619
5.88,0.00669,0.00716,-0.02937
5.98,0.00317,0.00118,-0.01391
6.08,-0.01456,0.05316,-0.0183
6.18,-0.00922,0.04195,0.02373
6.28,-0.0165,-0.00761,0.03051
6.38,0.02507,0.02729,0.00794
6.48,-0.01688,0.01603,0.04998
6.58,0.02148,0.00755,-0.00349
6.68,0.00931,0.00937,0.00873
6.79,-0.00639,0.01485,0.00927
6.88,-0.00249,0.01034,0.01745
6.98,0.00323,0.00574,0.01762
7.08,0.00783,0.00644,0.02305
7.2,-0.00013,-0.0067,1.09486
7.3,0.01835,0.00119,0.75392
7.4,-0.02127,0.00493,0.86425
7.5,0.00037,0.00044,0.93811
7.6,0.00244,-0.00712,0.84528
7.7,-0.00565,-0.00017,0.9437
