timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.15,0.00332,0.00383,-0.99084,0.00339,0.00823,0.01498
0.26,0.15188,0.01959,-0.98794,0.00725,0.12896,-0.02869
0.35,0.27774,-0.03994,-0.99296,0.11138,-0.04295,-0.02557
0.46,-0.13027,0.05735,-0.96054,0.0173,0.00686,0.03348
0.56,0.01524,0.0141,-0.9753,0.00775,0.01709,0.03113
0.66,0.16204,-0.05321,-0.99064,-0.02301,-0.06903,0.05661
0.76,-0.1639,0.04052,-0.97952,0.02111,-0.02557,-0.02781
0.86,0.1115,0.03591,-1.00978,0.03965,0.00092,-0.01728
0.96,0.04345,-0.00816,-0.97272,-0.03169,0.13641,0.00423
1.06,-0.10969,0.00795,-1.01475,0.06763,-0.0097,0.00537
1.15,0.16717,0.02794,-0.99241,0.01463,0.05873,-0.00168
1.26,-0.07905,0.00725,-1.01855,-0.06316,-0.04191,-0.00292
1.35,0.01437,0.05225,-0.9919,0.04404,0.00876,-0.03182
1.46,0.10035,0.00978,-0.98012,-0.0104,0.04022,0.01086
1.56,-0.12251,-0.01046,-0.9884,0.04239,-0.0653,0.03131
1.66,0.08219,0.02063,-1.00804,0.01913,-0.00048,-0.0174
1.76,-0.16459,-0.02716,-0.98378,-0.0026,0.02641,0.03877
1.86,-0.00909,-0.02002,-0.97757,-0.01338,0.04091,0.03906
1.96,0.03345,-0.00308,-0.98754,-0.00124,-0.02573,0.02711
2.06,-0.14942,0.00085,-0.97732,0.06547,0.06538,0.02239
2.16,-0.0001,0.01433,-0.99035,-0.01079,0.01495,0.00611
2.25,-0.00087,0.0029,-0.99284,-0.00352,0.01668,0.01783
2.35,-0.01686,-0.00447,-0.99,0.00103,0.01478,0.03253
2.45,-0.01637,0.00422,-0.98994,0.01091,0.0008,0.00229
2.56,-0.00758,0.00069,-0.98762,0.0026,0.00756,0.01526
2.66,-0.00047,-0.0352,-0.99243,-0.00016,-0.00296,1.00209
2.76,-0.0186,-0.01483,-0.98867,0.02663,-0.01166,0.82313
2.86,0.04197,-0.00289,-0.97825,0.00012,0.02346,0.84234
2.96,0.03414,-0.00797,-0.98675,-0.02649,0.00613,0.89247
3.06,0.01459,0.05701,-0.99298,0.0337,-0.00913,0.84732
3.16,0.01197,0.01175,-0.99613,-0.00958,-0.01026,0.9894
3.26,0.00803,-0.03081,-0.9886,-0.00742,-0.00155,0.99184
3.36,0.02505,0.01431,-0.9883,0.00264,0.00961,0.88993
3.46,0.02643,0.04129,-1.00196,-0.00325,-0.00731,0.92683
3.55,0.00373,-0.01439,-0.98582,-0.00381,-0.00232,0.98416
3.66,0.01474,-0.00343,-0.98423,0.0061,0.01573,0.93457
3.77,0.02228,0.01901,-0.99534,0.004,-0.00561,0.95072
3.86,0.00776,-0.0334,-0.96813,0.00291,0.01685,0.99257
3.96,0.01679,-0.01581,-0.99802,-0.01955,0.02067,0.96722
4.06,0.01502,-0.00775,-0.98317,-0.00159,-0.00831,0.94273
4.16,0.01696,0.03983,-1.02189,0.0307,-0.02287,0.8573
4.26,0.02814,0.02307,-0.98683,-0.01548,0.00119,0.92123
4.36,0.02448,0.06463,-0.9837,-0.00135,0.00374,0.25562
4.45,0.01565,0.02302,-0.98826,0.01125,0.00998,-0.00184
4.56,0.012,-0.00569,-0.98923,0.00281,0.00873,0.01287
4.66,0.00668,-0.00248,-0.98933,0.00076,0.00736,0.0186
4.76,0.0038,-0.00267,-0.98987,0.0052,0.00787,0.01802
4.85,0.19894,0.01417,-0.99052,0.0205,0.19521,-0.0151
4.96,0.20304,-0.09841,-1.01391,0.05215,0.02178,0.1166
5.06,-0.15009,0.02875,-0.97103,-0.00589,-0.01571,0.07904
5.16,0.0845,0.03358,-0.96507,-0.00785,0.03483,-0.02963
5.26,0.11436,-0.02798,-0.96991,0.02104,-0.06087,0.0522
5.36,-0.16714,-0.03178,-0.99154,-0.0338,-0.01012,0.03434
5.46,0.16751,0.01751,-1.00021,-0.00635,0.04648,0.002
5.57,-0.00601,0.01824,-1.01027,0.05066,-0.01791,-0.01324
5.67,-0.08619,-0.02041,-0.98087,0.01786,0.02569,0.0404
5.75,0.16136,0.01379,-0.95503,0.00189,0.0697,0.00026
5.85,-0.09615,0.0322,-0.9882,-0.01849,0.02199,-0.01188
