timestamp,x,y,z
0.12,0.0,0.0,0.0
0.12,-0.15377,-0.01055,0.0
0.22,-1e-05,5e-05,0.0
0.32,0.00786,0.00106,0.0
0.42,0.0459,0.00178,0.0
0.52,0.08181,0.0016,0.0
0.62,0.10421,0.0021,0.0
0.72,0.14181,0.00263,0.0
0.82,0.18607,0.00385,0.0
0.92,0.20308,0.00418,0.0
1.02,0.26037,0.00512,0.0
1.12,0.29127,0.006,0.0
1.22,0.33285,0.00657,0.0
1.32,0.36726,0.00703,0.0
1.43,0.40337,0.00794,0.0
1.52,0.44548,0.00876,0.0
1.62,0.47865,0.00955,0.0
1.72,0.51866,0.01044,0.0
1.82,0.55801,0.01104,0.0
1.92,0.59078,0.01179,0.0
2.02,0.62074,0.01252,0.0
2.12,0.63935,0.0129,0.0
2.22,0.65951,0.01285,0.0
2.32,0.6736,0.01292,0.0
2.42,0.68437,0.01295,0.0
2.52,0.69377,0.01308,0.0
2.62,0.70168,0.0128,0.0
2.72,0.70805,0.01273,0.0
2.82,0.71272,0.01264,0.0
2.92,0.71342,0.01237,0.0
3.02,0.7128,0.01295,0.0
3.12,0.71056,0.01213,0.0
3.22,0.71151,0.01172,0.0
3.32,0.71324,0.01307,0.0
3.42,0.71384,0.014,0.0
3.53,0.71347,0.01444,0.0
3.62,0.71418,0.01393,0.0
3.72,0.71458,0.014,0.0
3.82,0.714,0.01564,0.0
3.93,0.71485,0.01624,0.0
4.02,0.71421,0.01589,0.0
4.12,0.71463,0.01536,0.0
4.22,0.71485,0.01501,0.0
4.32,0.71516,0.01568,0.0
4.42,0.71568,0.01613,0.0
4.53,0.7156,0.01545,0.0
4.63,0.71516,0.01554,0.0
4.73,0.71499,0.01547,0.0
4.83,0.71472,0.01591,0.0
4.93,0.71349,0.01595,0.0
5.02,0.71167,0.01652,0.0
5.12,0.71062,0.01566,0.0
5.23,0.71032,0.01456,0.0
5.33,0.7107,0.01359,0.0
5.43,0.71074,0.01295,0.0
5.53,0.70776,0.02668,0.0
5.63,0.70497,0.06486,0.0
5.72,0.70456,0.08971,0.0
5.82,0.70327,0.1126,0.0
5.92,0.70269,0.14628,0.0
6.03,0.70181,0.17011,0.0
6.12,0.70068,0.20194,0.0
6.22,0.70006,0.23487,0.0
6.32,0.6995,0.26229,0.0
6.43,0.698,0.29865,0.0
6.52,0.69758,0.32982,0.0
6.63,0.69698,0.36229,0.0
6.72,0.6965,0.3996,0.0
6.82,0.69597,0.43086,0.0
6.93,0.6959,0.46908,0.0
7.02,0.69545,0.50493,0.0
7.15,0.69512,0.53943,0.0
7.24,0.69457,0.57944,0.0
7.34,0.69458,0.61128,0.0
7.44,0.69469,0.63575,0.0
7.54,0.69492,0.66039,0.0
7.65,0.6949,0.67523,0.0
7.74,0.69414,0.68414,0.0
7.84,0.69401,0.6926,0.0
7.94,0.69421,0.70026,0.0
8.05,0.6946,0.70576,0.0
8.15,0.69496,0.71018,0.0
8.25,0.69526,0.71323,0.0
8.34,0.69709,0.71362,0.0
8.44,0.69659,0.71061,0.0
8.54,0.6969,0.71085,0.0
8.64,0.69697,0.71182,0.0
8.74,0.6969,0.71278,0.0
8.84,0.69566,0.7125,0.0
8.94,0.69585,0.71272,0.0
9.05,0.69586,0.7124,0.0
9.14,0.69532,0.71268,0.0
9.24,0.69446,0.71339,0.0
9.34,0.69439,0.71307,0.0
9.44,0.69389,0.71316,0.0
9.55,0.69405,0.71322,0.0
9.65,0.69406,0.71349,0.0
9.74,0.69331,0.71351,0.0
9.84,0.69297,0.71221,0.0
9.95,0.69248,0.71185,0.0
10.04,0.69187,0.71203,0.0
10.15,0.69177,0.71174,0.0
10.24,0.69162,0.7113,0.0
10.34,0.69072,0.71113,0.0
10.44,0.6901,0.71031,0.0
10.55,0.68944,0.7105,0.0
10.64,0.68896,0.71092,0.0
10.74,0.68871,0.71122,0.0
10.84,0.68552,0.71192,0.0
10.94,0.65371,0.71615,0.0
11.04,0.6173,0.71752,0.0
11.17,0.59905,0.71765,0.0
11.26,0.56656,0.71792,0.0
11.37,0.535,0.71856,0.0
11.46,0.51086,0.71894,0.0
11.56,0.47387,0.71928,0.0
11.66,0.44504,0.7196,0.0
11.76,0.41473,0.72009,0.0
11.86,0.37697,0.7206,0.0
11.97,0.34907,0.72105,0.0
12.06,0.31319,0.72071,0.0
12.16,0.27852,0.72068,0.0
12.27,0.24915,0.72044,0.0
12.36,0.21197,0.72054,0.0
12.47,0.18174,0.72084,0.0
12.56,0.15078,0.72036,0.0
